User ID,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Electricity_Bill,Water_Bill,Gas_Bill,Internet_Bill,Total_Utility_Cost,Followers,Posts,avg_sentiment_last_month,positive_post_ratio,negative_post_ratio,neutral_post_ratio,sentiment_volatility,Groceries,Entertainment,Healthcare,Transportation,Savings,Total_Expenditure,Risk
0,67,male,2,own,NA,little,1169,6,radio/TV,1360,1438,2941,1913,7652,7370,115,0.579397014,0.001565105,0.518008066,0.480426828,0.984269145,4932,2613,1016,6872,11491,26924,good
1,22,female,2,own,little,moderate,5951,48,radio/TV,4272,1532,2092,1859,9755,960,101,0.317415551,0.63640137,0.140324518,0.223274112,0.177518925,5547,5045,4804,6136,5123,26655,bad
2,49,male,1,own,little,NA,2096,12,education,3592,825,1579,1254,7250,5490,296,-0.003608567,0.051135381,0.671157473,0.277707145,0.832948101,2012,7943,4725,1180,9625,25485,good
3,45,male,2,free,little,little,7882,42,furniture/equipment,966,820,2738,1103,5627,5291,387,0.110727102,0.25760722,0.620473785,0.121918995,0.352301277,9774,5632,1785,3915,9101,30207,good
4,53,male,2,free,little,little,4870,24,car,4926,851,2071,1591,9439,5834,402,0.438403557,0.0595247,0.742253187,0.198222112,0.218961692,8144,1640,4914,6052,12240,32990,bad
5,35,male,1,free,NA,NA,9055,36,education,3944,536,505,1564,6549,6365,60,-0.543090517,0.603795453,0.169881006,0.226323541,0.495870076,8055,4370,3770,3384,3010,22589,good
6,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,3671,1604,1843,1301,8419,566,38,0.992667832,0.686589913,0.1949752,0.118434887,0.679560922,9184,3058,4253,5510,7068,29073,good
7,35,male,3,rent,little,moderate,6948,36,car,3419,1682,2081,1040,8222,4526,471,0.949586324,0.114487638,0.890409517,-0.004897155,0.442856661,6749,5315,2292,5009,3260,22625,good
8,61,male,1,own,rich,NA,3059,12,radio/TV,630,1524,401,2480,5035,5678,305,0.300651373,0.383838883,0.749977798,-0.133816681,0.149108867,6346,6917,2432,4116,4638,24449,good
9,28,male,3,own,little,moderate,5234,30,car,2185,1601,2537,1403,7726,8422,306,-0.600915098,0.456236509,0.908228489,-0.364464998,0.639515026,5523,6515,3058,5897,3314,24307,bad
10,25,female,2,rent,little,moderate,1295,12,car,1269,1558,749,1017,4593,1785,223,0.360456485,0.369053022,0.758715321,-0.127768343,0.912162948,8105,5609,3705,5191,11828,34438,bad
11,24,female,2,rent,little,little,4308,48,business,2891,793,1686,1317,6687,869,276,-0.855603182,0.121025,0.597155306,0.281819694,0.444893829,3932,2975,4337,2376,2327,15947,bad
12,22,female,2,own,little,moderate,1567,12,radio/TV,2933,303,1462,2086,6784,7049,416,-0.938694996,0.41894779,0.654132737,-0.073080527,0.2946995,4993,6020,4351,3364,11372,30100,good
